DIST_REMOTE_TCP_PORT,REMOTE_APP_PACKETS,SOURCE_APP_BYTES,Type
0.009887,0.01324,0.000842,0.0
0.024011,0.027259,0.005021,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0.010903,0.005794,1.0
0.001412,0.009346,0.001088,1.0
0,0.023364,0.010242,1.0
0,0.009346,0.00102,1.0
0,0.007788,0.000971,1.0
0,0.007009,0.000929,1.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0.014798,0.003022,0.0
0.026836,0.014798,0.002799,0.0
0.055085,0.038941,0.015546,0.0
0.009887,0.007788,0.000338,0.0
0.012712,0.007009,0.000273,0.0
0.004237,0.004673,0.000234,0.0
0,0.036604,0.029163,0.0
0.016949,0.014019,0.002721,0.0
0.011299,0.021028,0.003009,0.0
0,0.009346,0.000801,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0.035047,0.019253,1.0
0,0.010125,0.002196,1.0
0,0,0,0.0
0,0,0,0.0
0.004237,0.003894,0.000149,0.0
0.018362,0.034268,0.016554,0.0
0,0.008567,0.000394,0.0
0,0,0,0.0
0,0.007009,0.000516,1.0
0,0.007009,0.00056,1.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0.00565,0.006231,0.000297,0.0
0.00565,0.007788,0.000308,0.0
0.004237,0.004673,0.000177,0.0
0.009887,0.01947,0.002979,0.0
0.012712,0.009346,0.003893,0.0
0.001412,0.018692,0.001052,0.0
0.016949,0.021028,0.010398,0.0
0.007062,0.049844,0.03089,0.0
0.007062,0.025701,0.011972,0.0
0,0.006231,0.000288,0.0
0.036723,0.037383,0.014591,0.0
0,0,0,0.0
0.026836,0.028037,0.013303,0.0
0,0,0,0.0
0,0.031153,0.016988,1.0
0,0.006231,0.000548,1.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0.008475,0.023364,0.010864,0.0
0.011299,0.007009,0.000276,0.0
1,0.651869,0.040318,0.0
0.00565,0.005452,0.000263,0.0
0.011299,0.007009,0.000294,0.0
0.004237,0.003894,0.000149,0.0
0.004237,0.005452,0.000212,0.0
0.012712,0.011682,0.000516,0.0
0.012712,0.020249,0.007408,0.0
0.002825,0.010903,0.000446,0.0
0.029661,0.028037,0.005063,0.0
0.008475,0.027259,0.022664,0.0
0,0.025701,0.011871,0.0
0.008475,0.014019,0.000648,0.0
0.001412,0.023364,0.026978,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0.007009,0.000531,1.0
0,0,0,0.0
0,0,0,0.0
0.012712,0.01324,0.002692,0.0
0.073446,0.053738,0.014915,0.0
0.024011,0.021028,0.004773,0.0
0.024011,0.014798,0.000704,0.0
0.00565,0.007009,0.000274,0.0
0.002825,0.003115,0.000121,0.0
0.002825,0.01324,0.002712,0.0
0.008475,0.077882,0.046436,0.0
0.036723,0.028816,0.013307,0.0
0.032486,0.031931,0.016693,0.0
0.066384,0.034268,0.011643,0.0
0.001412,0.020249,0.001342,0.0
0.004237,0.037383,0.027853,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0.008567,0.000494,1.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0.074859,0.054517,0.012645,0.0
0.004237,0.009346,0.000372,0.0
0.004237,0.004673,0.000181,0.0
0,0.007009,0.000464,0.0
0.018362,0.024922,0.003187,0.0
0,0.025701,0.0213,0.0
0.001412,0.021807,0.008035,0.0
0.019774,0.017913,0.003765,0.0
0.024011,0.021028,0.00479,0.0
0,0.088006,0.087106,0.0
0.011299,0.012461,0.000556,0.0
0.063559,0.049844,0.012469,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0.001412,0.020249,0.001856,1.0
0.001412,0.012461,0.001567,1.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0.007062,0.020249,0.000913,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0.014124,0.015576,0.004654,0.0
0.059322,0.040498,0.012026,0.0
0,0.022586,0.008415,0.0
0.004237,0.003894,0.00015,0.0
0.004237,0.005452,0.000207,0.0
0,0.094237,0.084215,0.0
0.014124,0.011682,0.000546,0.0
0.004237,0.005452,0.000215,0.0
0.001412,0.010125,0.000748,0.0
0,0.054517,0.043061,0.0
0.036723,0.021807,0.004488,0.0
0,0.031153,0.024567,0.0
0.002825,0.01947,0.01957,0.0
0,0.009346,0.003468,0.0
0.002825,0.027259,0.028483,0.0
0,0.012461,0.003534,0.0
0,0,0,0.0
0.001412,0.010903,0.001027,1.0
0.001412,0.020249,0.001851,1.0
0.001412,0.015576,0.001383,1.0
0,0.004673,0.000188,1.0
0.001412,0.011682,0.000588,1.0
0,0.008567,0.000661,1.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0.009887,0.03972,0.022572,0.0
0.004237,0.003894,0.000148,0.0
0.007062,0.004673,0.00023,0.0
0.015537,0.024922,0.005603,0.0
0.002825,0.004673,0.000185,0.0
0.00565,0.007009,0.00027,0.0
0.00565,0.005452,0.000263,0.0
0.00565,0.004673,0.000231,0.0
0.001412,0.023364,0.00893,0.0
0,0.021028,0.002311,0.0
0.138418,0.101246,0.086957,0.0
0,0,0,0.0
0.007062,0.021028,0.001891,1.0
0.001412,0.014019,0.001292,1.0
0,0.024143,0.005218,1.0
0,0.010903,0.000671,1.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0.038136,0.031153,0.007073,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0.004237,0.007009,0.000274,0.0
0.008475,0.007788,0.000309,0.0
0.012712,0.005452,0.000215,0.0
0.004237,0.003894,0.000149,0.0
0.004237,0.003894,0.000149,0.0
0.004237,0.003115,0.000118,0.0
0.004237,0.003894,0.00015,0.0
0.001412,0.020249,0.004862,0.0
0,0.035047,0.019196,0.0
0.035311,0.03271,0.016348,0.0
0,0.018692,0.007838,0.0
0.028249,0.025701,0.006357,0.0
0,0.007788,0.000961,0.0
0.004237,0.022586,0.003854,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0.035047,0.017136,1.0
0,0.035047,0.017136,1.0
0,0.016355,0.010182,1.0
0.001412,0.01324,0.001282,1.0
0.001412,0.020249,0.001845,1.0
0.001412,0.009346,0.000468,1.0
0.001412,0.015576,0.001392,1.0
0.001412,0.017134,0.001454,1.0
0.001412,0.017134,0.001454,1.0
0.001412,0.01947,0.001832,1.0
0.001412,0.017913,0.001442,1.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0.021186,0.01947,0.000936,0.0
0.001412,0.01947,0.01938,0.0
0.014124,0.047508,0.01857,0.0
0.004237,0.003115,0.000118,0.0
0.004237,0.003115,0.000118,0.0
0.004237,0.004673,0.000181,0.0
0.012712,0.009346,0.000418,0.0
0.008475,0.003894,0.000149,0.0
0.00565,0.004673,0.000181,0.0
0.016949,0.018692,0.000868,0.0
0.00565,0.004673,0.000177,0.0
0.011299,0.021028,0.009261,0.0
0.004237,0.035826,0.020527,0.0
0,0.03271,0.025592,0.0
0.002825,0.01324,0.000904,0.0
0.056497,0.03972,0.012677,0.0
0.008475,0.03271,0.033931,0.0
0.007062,0.030374,0.018032,0.0
0,0,0,0.0
0.001412,0.025701,0.017602,0.0
0.012712,0.017913,0.001119,0.0
0,0,0,0.0
0,0,0,0.0
0.025424,0.168224,0.131432,1.0
0.001412,0.007788,0.000399,1.0
0.001412,0.01324,0.001252,1.0
0.001412,0.009346,0.000469,1.0
0.001412,0.017913,0.001719,1.0
0.001412,0.017913,0.001753,1.0
0,0.007788,0.000341,1.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0.002825,0.021028,0.001026,0.0
0.014124,0.014798,0.000628,0.0
0.004237,0.003115,0.000118,0.0
0.002825,0.002336,0.000089,0.0
0.004237,0.005452,0.000213,0.0
0.004237,0.003894,0.000149,0.0
0.002825,0.014798,0.001051,0.0
0.009887,0.061526,0.060143,0.0
0.103107,0.074766,0.052143,0.0
0,0.008567,0.008232,0.0
0.011299,0.014798,0.00376,0.0
0,0.004673,0.000324,0.0
0.009887,0.014019,0.002531,0.0
0,0.010125,0.002359,0.0
0,0.008567,0.000623,0.0
0,0.016355,0.006977,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0.041277,0.032143,1.0
0,0.003894,0.000198,1.0
0,0.003115,0.000196,1.0
0.002825,0.038941,0.019571,1.0
0,0.010903,0.001452,1.0
0,0.010125,0.000662,1.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0.007062,0.008567,0.000338,0.0
0.014124,0.010903,0.000428,0.0
0.007062,0.006231,0.00026,0.0
0.002825,0.003894,0.000159,0.0
0.007062,0.008567,0.000359,0.0
0.00565,0.004673,0.00023,0.0
0,0.004673,0.00027,0.0
0.009887,0.027259,0.00682,0.0
0.032486,0.027259,0.015351,0.0
0,0.037383,0.062709,0.0
0.001412,0.014019,0.00082,0.0
0.008475,0.011682,0.001068,0.0
0,0.024143,0.010264,0.0
0.008475,0.068536,0.120139,0.0
0.007062,0.021807,0.00175,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0.00565,0.003894,0.000153,1.0
0.001412,0.021028,0.001901,1.0
0,0.011682,0.003519,1.0
0.001412,0.01947,0.003882,1.0
0,0.007009,0.000533,1.0
0,0,0,0.0
0,0,0,0.0
0,0.015576,0.009526,0.0
0,0,0,0.0
0,0,0,0.0
0,0.017913,0.007549,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0.035311,0.035047,0.012513,0.0
0.009887,0.007009,0.000273,0.0
0.018362,0.012461,0.000491,0.0
0.004237,0.003115,0.000118,0.0
0.008475,0.006231,0.000262,0.0
0.002825,0.003894,0.000149,0.0
0,0.007009,0.00047,0.0
0.024011,0.03271,0.01909,0.0
0.011299,0.024143,0.004717,0.0
0.009887,0.018692,0.003176,0.0
0.009887,0.010125,0.000488,0.0
0.007062,0.016355,0.007738,0.0
0.056497,0.059969,0.026655,0.0
0.016949,0.021807,0.00359,0.0
0,0.015576,0.003909,0.0
0,0.015576,0.004256,0.0
0.042373,0.041277,0.026233,0.0
0,0.018692,0.010003,0.0
0.028249,0.031153,0.019741,0.0
0.394068,0.33567,0.513884,0.0
0,0,0,0.0
0,0.03271,0.017319,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0.004673,0.000188,1.0
0.001412,0.009346,0.000466,1.0
0.007062,0.01947,0.002354,1.0
0,0.020249,0.001595,1.0
0,0.017913,0.003778,1.0
0,0.008567,0.000641,1.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0.036723,0.028816,0.01603,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0.073446,0.05296,0.029411,0.0
0,0,0,0.0
0,0,0,0.0
0,0.008567,0.000731,0.0
0.009887,0.015576,0.003253,0.0
0.067797,0.05296,0.028294,0.0
0.002825,0.003115,0.000118,0.0
0.008475,0.003115,0.000118,0.0
0.033898,0.017134,0.003627,0.0
0.002825,0.002336,0.000089,0.0
0.004237,0.005452,0.000213,0.0
0.012712,0.014019,0.000648,0.0
0.012712,0.008567,0.000341,0.0
0.002825,0.003115,0.000119,0.0
0.004237,0.003894,0.000149,0.0
0.009887,0.012461,0.0005,0.0
0.00565,0.005452,0.000212,0.0
0.00565,0.009346,0.00037,0.0
0.004237,0.003894,0.00015,0.0
0.004237,0.003115,0.000118,0.0
0.007062,0.003115,0.000118,0.0
0.007062,0.007788,0.000308,0.0
0.011299,0.008567,0.000383,0.0
0.015537,0.024922,0.005707,0.0
0.002825,0.015576,0.00142,0.0
0.008475,0.020249,0.003437,0.0
0.008475,0.022586,0.007585,0.0
0.076271,0.054517,0.027672,0.0
0,0.009346,0.009351,0.0
0.015537,0.035826,0.009738,0.0
0.050847,0.05296,0.028674,0.0
0.04661,0.036604,0.014146,0.0
0.094633,0.056854,0.040066,0.0
0.008475,0.012461,0.000625,0.0
0.018362,0.024922,0.00451,0.0
0.024011,0.020249,0.00106,0.0
0.084746,0.062305,0.033027,0.0
0.079096,0.055296,0.030888,0.0
0.004237,0.014019,0.000783,0.0
0.070621,0.050623,0.026693,0.0
0.069209,0.049844,0.027431,0.0
0,0.029595,0.062661,0.0
0.072034,0.051402,0.028208,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0.079096,0.059969,0.030003,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0.001412,0.009346,0.000468,1.0
0.001412,0.010903,0.001015,1.0
0.001412,0.009346,0.000466,1.0
0.001412,0.01947,0.001838,1.0
0.001412,0.017134,0.001466,1.0
0,0.014019,0.001195,1.0
0,0.017134,0.003745,1.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0.010903,0.000783,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0.00565,0.003894,0.00015,0.0
0.004237,0.003894,0.000149,0.0
0.016949,0.003115,0.000118,0.0
0.004237,0.003894,0.000149,0.0
0.024011,0.160436,0.143306,0.0
0.004237,0.003115,0.000118,0.0
0.00565,0.007788,0.000312,0.0
0.008475,0.021028,0.011595,0.0
0.004237,0.015576,0.005999,0.0
0.015537,0.020249,0.007784,0.0
0.001412,0.010125,0.000988,0.0
0,0.01947,0.013009,0.0
0,0.020249,0.018678,0.0
0.012712,0.068536,0.057099,0.0
0.014124,0.014798,0.000789,0.0
0.001412,0.028037,0.015719,0.0
0.00565,0.04595,0.032952,0.0
0.00565,0.009346,0.001375,0.0
0,0.022586,0.007776,0.0
0.05791,0.042056,0.007624,0.0
0.007062,0.017913,0.01231,0.0
0.007062,0.021028,0.002698,0.0
0.001412,0.014798,0.003281,0.0
0.001412,0.028816,0.020251,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0.009346,0.000966,1.0
0.001412,0.014798,0.001358,1.0
0,0.020249,0.006061,1.0
0,0.021807,0.015232,1.0
0,0.007788,0.000564,1.0
0,0.010125,0.00096,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0.001558,0.00006,0.0
0.004237,0.003115,0.000118,0.0
0.007062,0.005452,0.000215,0.0
0.004237,0.006231,0.000253,0.0
0,0.018692,0.006695,0.0
0,0.009346,0.000744,0.0
0.038136,0.028816,0.017962,0.0
0,0.017913,0.008907,0.0
0.004237,0.012461,0.000648,0.0
0.015537,0.029595,0.01336,0.0
0,0.027259,0.016712,0.0
0.004237,0.003894,0.000204,0.0
0.016949,0.041277,0.018895,0.0
0,0.001558,0.00006,0.0
0.001412,0.012461,0.001341,0.0
0.05791,0.07866,0.069288,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0.001412,0.007788,0.000399,1.0
0.001412,0.016355,0.001441,1.0
0.001412,0.016355,0.001441,1.0
0,0.015576,0.006254,1.0
0,0.01947,0.006027,1.0
0,0.021807,0.006123,1.0
0,0.018692,0.005997,1.0
0,0.021807,0.006123,1.0
0,0.01324,0.002869,1.0
0.015537,0.042835,0.02198,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0.009346,0.000726,0.0
0.004237,0.003894,0.00015,0.0
0.00565,0.006231,0.000297,0.0
0.007062,0.005452,0.00023,0.0
0.004237,0.004673,0.000183,0.0
0.011299,0.004673,0.000177,0.0
0,0.027259,0.020261,0.0
0.00565,0.02648,0.005876,0.0
0.028249,0.028037,0.013296,0.0
0.008475,0.014019,0.000644,0.0
0.021186,0.020249,0.00508,0.0
0.00565,0.016355,0.012393,0.0
0,0.004673,0.0002,0.0
0.012712,0.05296,0.039967,0.0
0.019774,0.021028,0.001723,0.0
0,0.006231,0.000493,0.0
0,0,0,0.0
0,0,0,0.0
0.021186,0.024922,0.013189,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0.001412,0.009346,0.000469,1.0
0.001412,0.017134,0.001471,1.0
0,0.021028,0.006091,1.0
0,0.009346,0.000679,1.0
0,0.007009,0.001362,1.0
0,0.010125,0.004317,1.0
0,0.001558,0.00006,1.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0.014798,0.011871,0.0
0,0,0,0.0
0,0,0,0.0
0.008475,0.016355,0.001467,0.0
0.004237,0.003115,0.000118,0.0
0.014124,0.009346,0.00039,0.0
0.012712,0.030374,0.021443,0.0
0.004237,0.005452,0.000217,0.0
0.004237,0.004673,0.000178,0.0
0.007062,0.006231,0.000244,0.0
0.001412,0.028816,0.020358,0.0
0.002825,0.083333,0.071488,0.0
0.018362,0.055296,0.056933,0.0
0.004237,0.024143,0.004763,0.0
0,0.009346,0.001063,0.0
0.002825,0.01324,0.000963,0.0
0.00565,0.016355,0.007005,0.0
0.021186,0.018692,0.002954,0.0
0.009887,0.015576,0.009776,0.0
0.004237,0.038941,0.021752,0.0
0.007062,0.055296,0.030804,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0.018692,0.004766,1.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0.017913,0.013012,0.0
0.009887,0.010125,0.000467,0.0
0.00565,0.006231,0.000294,0.0
0.004237,0.005452,0.000213,0.0
0.008475,0.006231,0.000262,0.0
0.026836,0.003894,0.000149,0.0
0.009887,0.011682,0.000471,0.0
0.008475,0.03271,0.023267,0.0
0.014124,0.025701,0.003473,0.0
0.049435,0.037383,0.018558,0.0
0.045198,0.031931,0.019701,0.0
0.002825,0.137072,0.138224,0.0
0,0.009346,0.002852,0.0
0.00565,0.012461,0.007719,0.0
0,0.015576,0.00438,0.0
0.022599,0.01947,0.001759,0.0
0.001412,0.061526,0.058439,0.0
0.008475,0.01947,0.007415,0.0
0,0.006231,0.00067,0.0
0.029661,0.041277,0.011139,0.0
0.016949,0.017913,0.009365,0.0
0.004237,0.017913,0.005177,0.0
0,0.011682,0.000691,0.0
0,0.016355,0.015442,0.0
0.00565,0.017913,0.004505,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0.004673,0.00024,1.0
0,0.007788,0.003714,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0.01324,0.002389,0.0
0.00565,0.004673,0.000231,0.0
0.012712,0.009346,0.000391,0.0
0,0.005452,0.000281,0.0
0,0.204829,0.237044,0.0
0.05791,0.041277,0.01895,0.0
0,0.035826,0.039931,0.0
0.002825,0.014798,0.008928,0.0
0.007062,0.02648,0.007738,0.0
0.060734,0.043614,0.01888,0.0
0.049435,0.042056,0.041085,0.0
0.031073,0.03972,0.019443,0.0
0,0.002336,0.00009,0.0
0,0.01947,0.012933,0.0
0,0.017134,0.005892,0.0
0.004237,0.050623,0.039942,0.0
0.014124,0.025701,0.005675,0.0
0.04096,0.030374,0.018099,0.0
0.022599,0.027259,0.017961,0.0
0,0.008567,0.000528,0.0
0,0.017913,0.004663,0.0
0,0.008567,0.000744,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0.010903,0.00152,1.0
0,0.007788,0.000613,1.0
0.083333,0.05919,0.040182,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0.059322,0.042056,0.018474,0.0
0.019774,0.027259,0.008531,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0.008475,0.006231,0.000241,0.0
0.004237,0.006231,0.000245,0.0
0.008475,0.009346,0.000372,0.0
0.00565,0.006231,0.000289,0.0
0.00565,0.006231,0.000245,0.0
0.056497,0.056854,0.033941,0.0
0,0.007788,0.000662,0.0
0.018362,0.040498,0.017453,0.0
0.002825,0.023364,0.002067,0.0
0,0.11215,0.113158,0.0
0,0.074766,0.055074,0.0
0.002825,0.018692,0.003441,0.0
0.011299,0.014019,0.002526,0.0
0.029661,0.062305,0.064677,0.0
0.025424,0.021028,0.03024,0.0
0.015537,0.029595,0.010936,0.0
0.002825,0.028037,0.016256,0.0
0,0.023364,0.008088,0.0
0,0.011682,0.004705,0.0
0,0.023364,0.008325,0.0
0,0.01324,0.005478,0.0
0,0.017134,0.011106,0.0
0.007062,0.017913,0.000784,0.0
0.022599,0.021028,0.003791,0.0
0,0.112928,0.112523,0.0
0.001412,0.031931,0.011988,0.0
0,0.198598,0.236294,0.0
0.036723,0.036604,0.019863,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0.015537,0.024922,0.008219,1.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0.039548,0.027259,0.009531,0.0
0.004237,0.030374,0.017324,0.0
0.009887,0.007788,0.000361,0.0
0.009887,0.007788,0.000303,0.0
0.004237,0.009346,0.000354,0.0
0.009887,0.008567,0.008696,0.0
0.028249,0.025701,0.001544,0.0
0.009887,0.007788,0.000303,0.0
0.009887,0.008567,0.000325,0.0
0.064972,0.05296,0.02882,0.0
0.001412,0.014019,0.001582,0.0
0,0.028816,0.017575,0.0
0.001412,0.015576,0.001354,0.0
0,0.029595,0.017585,0.0
0.009887,0.022586,0.01147,0.0
0.002825,0.007009,0.000378,0.0
0.063559,0.049844,0.033643,0.0
0.001412,0.011682,0.00089,0.0
0.002825,0.024143,0.006403,0.0
0.026836,0.025701,0.011114,0.0
0.066384,0.049844,0.053564,0.0
0.004237,0.028037,0.033431,0.0
0.004237,0.077882,0.130311,0.0
0,0.007788,0.000993,0.0
0.002825,0.021028,0.005458,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0.007062,0.016355,0.000955,1.0
0.001412,0.01947,0.001822,1.0
0,0.018692,0.004766,1.0
0,0.01947,0.006029,1.0
0,0.03972,0.032099,1.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0.038136,0.031153,0.008105,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0.009887,0.007788,0.000303,0.0
0.004237,0.011682,0.000881,0.0
0.009887,0.007009,0.000273,0.0
0.004237,0.006231,0.000247,0.0
0.00565,0.022586,0.004627,0.0
0.004237,0.006231,0.000245,0.0
0.009887,0.008567,0.000338,0.0
0.043785,0.033489,0.008546,0.0
0.002825,0.022586,0.00552,0.0
0.014124,0.040498,0.023993,0.0
0.016949,0.025701,0.004291,0.0
0.002825,0.028816,0.00278,0.0
0.008475,0.020249,0.002128,0.0
0,0.104361,0.111184,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0.001412,0.014798,0.001429,1.0
0.011299,0.012461,0.003003,1.0
0,0.01947,0.006962,1.0
0,0.008567,0.002943,1.0
0,0.042835,0.032257,1.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0.014019,0.008055,0.0
0,0,0,0.0
0,0.007009,0.001036,0.0
0.008475,0.009346,0.000388,0.0
0.004237,0.004673,0.000181,0.0
0.008475,0.008567,0.000341,0.0
0.026836,0.014019,0.000652,0.0
0.021186,0.010125,0.002352,0.0
0.004237,0.003894,0.000149,0.0
0.007062,0.011682,0.000517,0.0
0.004237,0.005452,0.000212,0.0
0.00565,0.004673,0.000233,0.0
0.004237,0.003115,0.000118,0.0
0.002825,0.002336,0.000089,0.0
0.00565,0.006231,0.000238,0.0
0.033898,0.028816,0.009007,0.0
0.008475,0.021028,0.001398,0.0
0.001412,0.015576,0.00331,0.0
0.022599,0.030374,0.019204,0.0
0,0.001558,0.00006,0.0
0,0.018692,0.004854,0.0
0.064972,0.047508,0.031485,0.0
0.015537,0.035826,0.007871,0.0
0,0.001558,0.00006,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0.009887,0.020249,0.010669,0.0
0,0,0,0.0
0,0.041277,0.032193,1.0
0.001412,0.018692,0.001752,1.0
